contig_id,cluster_id
k141_9026,20
k141_50566,9
k141_46222,10
k141_28799,20
k141_22254,17
k141_24435,11
k141_4755,8
k141_37517,10
k141_26606,20
k141_24436,8
k141_30970,10
k141_48393,20
k141_41902,10
k141_7007,10
k141_44114,9
k141_30971,10
k141_22257,21
k141_50571,9
k141_15732,20
k141_24439,10
k141_13560,18
k141_7008,0
k141_472,10
k141_39694,8
k141_30975,11
k141_2614,8
k141_48399,19
k141_28806,10
k141_41905,21
k141_35352,10
k141_37526,20
k141_20053,9
k141_39697,21
k141_22265,17
k141_37527,19
k141_17799,0
k141_46236,9
k141_20054,9
k141_39698,20
k141_15744,19
k141_4767,0
k141_48402,17
k141_9043,20
k141_50582,9
k141_2618,10
k141_44119,10
k141_28810,10
k141_11355,10
k141_33171,11
k141_20055,8
k141_35357,2
k141_50586,17
k141_13566,11
k141_30986,8
k141_33173,9
k141_15749,17
k141_9048,19
k141_20057,21
k141_4768,19
k141_41912,20
k141_26624,21
k141_39705,8
k141_7025,21
k141_48406,21
k141_20058,8
k141_46242,10
k141_30987,10
k141_41913,10
k141_28815,8
k141_493,17
k141_17800,21
k141_48409,17
k141_11364,21
k141_50594,6
k141_7028,9
k141_24465,10
k141_44125,20
k141_22284,8
k141_4773,9
k141_48411,20
k141_11367,8
k141_30990,11
k141_35369,20
k141_26634,8
k141_7031,10
k141_50600,6
k141_24471,0
k141_20066,0
k141_41923,19
k141_9059,21
k141_35372,21
k141_2636,11
k141_11372,17
k141_7036,8
k141_9062,6
k141_28832,6
k141_506,9
k141_20072,9
k141_17805,17
k141_30999,2
k141_37557,10
k141_13590,19
k141_24480,17
k141_26643,17
k141_46261,20
k141_7038,20
k141_48421,19
k141_22295,21
k141_11381,10
k141_9067,2
k141_2639,19
k141_41933,20
k141_4791,19
k141_20073,8
k141_39731,10
k141_50612,0
k141_48423,2
k141_7042,6
k141_26646,9
k141_37561,21
k141_15783,21
k141_46268,20
k141_24487,8
k141_20077,6
k141_44138,21
k141_22298,19
k141_28843,9
k141_13595,21
k141_48424,6
k141_31008,19
k141_35386,10
k141_37564,21
k141_44139,6
k141_33211,20
k141_13600,21
k141_31010,10
k141_28847,10
k141_11391,21
k141_4800,6
k141_22304,19
k141_26653,8
k141_20082,12
k141_28848,9
k141_39740,9
k141_15793,9
k141_46272,8
k141_41945,8
k141_33215,9
k141_17814,17
k141_20083,9
k141_31016,2
k141_44145,10
k141_28849,9
k141_39744,8
k141_46275,19
k141_533,20
k141_11397,10
k141_13609,17
k141_2654,17
k141_22313,17
k141_535,9
k141_4809,10
k141_39746,9
k141_28855,19
k141_7060,11
k141_35403,21
k141_536,9
k141_9093,17
k141_46276,19
k141_22314,20
k141_48443,6
k141_17820,19
k141_2658,0
k141_20085,10
k141_26667,20
k141_15797,11
k141_39747,8
k141_37584,0
k141_7061,10
k141_33224,0
k141_41955,9
k141_44155,9
k141_4811,10
k141_39748,20
k141_46279,9
k141_26671,10
k141_39749,6
k141_31029,10
k141_11411,10
k141_544,6
k141_7065,0
k141_28864,10
k141_24518,10
k141_22318,8
k141_33230,10
k141_4813,10
k141_15802,10
k141_2664,2
k141_20088,9
k141_35416,9
k141_22319,10
k141_13623,18
k141_4814,10
k141_31032,2
k141_44162,0
k141_28867,21
k141_9104,10
k141_17830,20
k141_33233,10
k141_547,9
k141_39752,20
k141_41966,20
k141_20091,10
k141_35420,21
k141_44165,2
k141_26679,21
k141_15809,8
k141_9108,6
k141_7073,21
k141_31037,20
k141_50650,9
k141_13632,9
k141_28874,9
k141_11422,9
k141_4816,9
k141_17835,21
k141_44168,2
k141_15814,9
k141_22329,2
k141_26683,20
k141_11425,6
k141_35426,9
k141_50655,20
k141_33238,9
k141_41977,7
k141_17838,8
k141_48469,9
k141_28881,8
k141_15816,9
k141_37608,19
k141_20102,19
k141_39764,19
k141_7079,17
k141_41978,10
k141_46302,21
k141_39765,0
k141_26690,2
k141_35430,9
k141_28884,6
k141_13643,20
k141_22331,10
k141_17841,9
k141_41983,21
k141_7086,0
k141_9126,21
k141_4835,21
k141_22332,20
k141_39771,2
k141_17842,2
k141_24540,11
k141_20112,10
k141_31057,6
k141_41986,17
k141_44185,5
k141_571,21
k141_11441,15
k141_35435,10
k141_22334,6
k141_37621,20
k141_33255,3
k141_2691,10
k141_20116,19
k141_22335,19
k141_26696,11
k141_13653,21
k141_4842,21
k141_35437,19
k141_22337,20
k141_28897,2
k141_15835,10
k141_9137,10
k141_44189,19
k141_39781,6
k141_15836,0
k141_46316,17
k141_28901,2
k141_13657,10
k141_44191,17
k141_7100,2
k141_37631,6
k141_4845,11
k141_588,19
k141_48495,9
k141_33264,21
k141_46317,2
k141_24554,2
k141_28904,17
k141_589,9
k141_13662,21
k141_42002,19
k141_35447,9
k141_50682,10
k141_22345,21
k141_33267,2
k141_2706,10
k141_39788,6
k141_48498,20
k141_44197,21
k141_50684,10
k141_9149,19
k141_594,21
k141_22347,17
k141_26706,10
k141_15850,9
k141_31077,20
k141_24563,21
k141_20134,6
k141_42009,10
k141_22349,6
k141_599,8
k141_50688,20
k141_33274,10
k141_46331,10
k141_28914,10
k141_17854,4
k141_7111,11
k141_48508,9
k141_20137,0
k141_50689,10
k141_31081,20
k141_33276,20
k141_9155,10
k141_4864,20
k141_7114,9
k141_13681,21
k141_605,6
k141_48510,10
k141_35463,19
k141_26717,9
k141_24568,21
k141_9157,21
k141_7116,2
k141_50693,11
k141_20143,10
k141_11476,2
k141_33278,21
k141_44214,10
k141_4869,21
k141_31087,10
k141_35467,21
k141_9160,10
k141_37661,21
k141_20145,10
k141_15867,21
k141_22363,10
k141_39808,8
k141_4872,21
k141_44218,10
k141_33282,21
k141_35472,20
k141_48511,11
k141_15871,17
k141_31096,20
k141_17857,10
k141_50701,9
k141_35473,6
k141_24583,10
k141_42029,8
k141_37666,9
k141_28936,19
k141_46352,0
k141_623,21
k141_2739,9
k141_50703,6
k141_26733,6
k141_7132,9
k141_9173,8
k141_44224,20
k141_15874,9
k141_13706,5
k141_4879,20
k141_28938,8
k141_7133,17
k141_50704,21
k141_22377,0
