contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_32727.concoct_part_0	0.000	0.000	0.000	2.433	0.000	0.000
k141_24003.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.346
k141_6560.concoct_part_0	0.000	0.000	2.239	0.000	0.000	0.000
k141_13101.concoct_part_0	0.000	0.000	0.000	3.131	0.000	0.000
k141_19637.concoct_part_0	0.000	1.284	0.000	0.000	0.423	0.000
k141_30548.concoct_part_0	1.244	0.546	0.172	1.130	0.666	0.000
k141_39265.concoct_part_0	0.901	0.164	0.000	0.000	0.458	0.000
k141_47987.concoct_part_0	0.000	0.000	0.000	0.000	2.862	0.000
k141_15272.concoct_part_0	0.361	0.000	0.000	1.653	0.000	0.000
k141_43633.concoct_part_0	0.000	0.000	0.000	3.596	0.000	0.154
k141_45809.concoct_part_0	0.000	0.000	2.103	0.000	0.174	0.000
k141_13102.concoct_part_0	0.000	0.000	0.831	0.761	0.000	0.000
k141_6561.concoct_part_0	2.564	0.000	0.000	0.000	0.000	0.000
k141_21.concoct_part_0	0.000	0.000	0.000	0.000	4.130	0.000
k141_21823.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.402
k141_17451.concoct_part_0	0.000	0.000	2.761	0.000	0.000	0.000
k141_19638.concoct_part_0	0.000	0.000	2.624	0.000	0.000	0.000
k141_15273.concoct_part_0	0.000	0.000	0.000	1.698	0.000	0.000
k141_32728.concoct_part_0	0.655	0.222	0.000	0.000	1.510	0.667
k141_4369.concoct_part_0	3.325	0.038	0.000	1.288	0.000	0.000
k141_41454.concoct_part_0	1.496	0.000	0.000	0.000	0.000	0.000
k141_26179.concoct_part_0	0.000	0.070	3.569	0.000	0.000	0.000
k141_34908.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.676
k141_8731.concoct_part_0	0.000	0.000	0.000	0.000	3.560	0.000
k141_50172.concoct_part_0	0.604	0.000	1.957	0.000	0.000	0.000
k141_15274.concoct_part_0	2.290	0.456	0.000	0.000	0.000	0.000
